brand,price_kUSD,common
Toyota,22.49,9.29
Toyota,34.01,7.98
Toyota,29.64,8.57
Toyota,26.97,8.01
Toyota,18.12,9.6
Toyota,18.12,9.83
Toyota,16.16,10.0
Toyota,32.32,8.06
Toyota,27.02,8.47
Toyota,29.16,8.38
Toyota,15.41,10.0
Toyota,34.4,8.19
Toyota,31.65,8.12
Toyota,19.25,9.78
Toyota,18.64,9.68
Toyota,18.67,10.0
Toyota,21.08,9.11
Toyota,25.5,8.82
Toyota,23.64,8.98
Toyota,20.82,8.83
Toyota,27.24,8.89
Toyota,17.79,9.83
Toyota,20.84,9.42
Toyota,22.33,9.17
Toyota,24.12,8.52
Toyota,30.7,8.26
Toyota,18.99,9.46
Toyota,25.28,8.65
Toyota,26.85,8.75
Toyota,15.93,10.0
Toyota,27.15,9.54
Toyota,18.41,9.73
Toyota,16.3,9.97
Toyota,33.98,8.07
Toyota,34.31,7.3
Toyota,31.17,8.37
Toyota,21.09,9.41
Toyota,16.95,10.0
Toyota,28.68,8.55
Toyota,23.8,9.24
Toyota,17.44,9.74
Toyota,24.9,8.54
Toyota,15.69,10.0
Toyota,33.19,8.48
Toyota,20.18,9.8
Toyota,28.25,8.31
Toyota,21.23,9.94
Toyota,25.4,8.4
Toyota,25.93,9.14
Toyota,18.7,10.0
Toyota,34.39,7.66
Toyota,30.5,8.22
Toyota,33.79,8.16
Toyota,32.9,8.01
Toyota,26.96,8.18
Toyota,33.44,8.18
Toyota,16.77,9.4
Toyota,18.92,9.8
Toyota,15.9,9.54
Toyota,21.51,9.97
Toyota,22.77,8.91
Toyota,20.43,9.33
Toyota,31.57,8.67
Toyota,22.14,8.79
Toyota,20.62,9.53
Toyota,25.85,9.44
Toyota,17.82,9.08
Toyota,31.04,8.47
Toyota,16.49,9.95
Toyota,34.74,8.34
Toyota,30.44,7.96
Toyota,18.97,9.07
Toyota,15.11,10.0
Toyota,31.31,8.49
Toyota,29.14,8.69
Toyota,29.58,8.68
Toyota,30.43,8.19
Toyota,16.48,9.94
Toyota,22.17,9.4
Toyota,17.32,9.48
Toyota,32.26,9.02
Toyota,27.47,8.94
Toyota,21.62,8.86
Toyota,16.27,10.0
Toyota,21.22,8.99
Toyota,21.5,9.66
Toyota,29.59,9.0
Toyota,27.75,8.4
Toyota,32.74,8.61
Toyota,24.44,9.22
Toyota,17.39,10.0
Toyota,29.26,9.33
Toyota,30.22,8.38
Toyota,26.23,8.58
Toyota,30.42,8.1
Toyota,24.88,8.69
Toyota,25.45,8.92
Toyota,23.55,9.28
Toyota,15.51,10.0
Toyota,17.16,10.0
Honda,35.49,8.02
Honda,29.06,7.96
Honda,30.69,8.24
Honda,28.84,8.58
Honda,22.3,8.64
Honda,33.89,7.67
Honda,24.18,7.5
Honda,18.53,9.03
Honda,32.2,7.79
Honda,21.9,8.56
Honda,38.69,7.8
Honda,38.99,6.54
Honda,38.13,7.04
Honda,26.14,8.63
Honda,18.34,10.0
Honda,38.42,6.6
Honda,27.42,8.89
Honda,39.27,7.09
Honda,39.2,6.7
Honda,36.77,7.55
Honda,24.48,8.84
Honda,26.47,8.3
Honda,36.73,7.4
Honda,24.97,8.55
Honda,21.73,9.12
Honda,30.25,8.37
Honda,38.6,7.79
Honda,33.31,7.26
Honda,30.54,8.93
Honda,20.14,8.48
Honda,31.53,7.9
Honda,39.78,7.26
Honda,21.08,9.26
Honda,29.4,7.96
Honda,37.3,7.22
Honda,34.3,7.45
Honda,33.33,7.52
Honda,33.45,8.08
Honda,25.91,8.74
Honda,24.46,8.49
Honda,35.81,7.84
Honda,35.82,7.6
Honda,37.08,7.66
Honda,38.09,7.47
Honda,29.25,7.89
Honda,29.03,8.02
Honda,35.56,7.8
Honda,32.3,8.12
Honda,33.44,7.74
Honda,35.51,7.56
Honda,37.58,7.79
Honda,25.44,8.42
Honda,26.26,8.78
Honda,20.07,9.18
Honda,30.72,7.97
Honda,18.79,9.85
Honda,28.24,8.67
Honda,29.94,8.47
Honda,24.3,9.31
Honda,31.0,8.03
Honda,18.67,9.7
Honda,18.82,9.28
Honda,36.1,7.57
Honda,25.92,8.55
Honda,20.8,9.22
Honda,29.49,8.43
Honda,34.94,7.25
Honda,22.75,9.8
Honda,31.7,7.54
Honda,19.88,8.8
Honda,19.14,9.83
Honda,29.69,8.49
Honda,29.89,8.4
Honda,32.02,8.16
Honda,33.97,7.68
Honda,39.47,6.7
Honda,29.36,8.24
Honda,25.11,8.42
Honda,35.49,7.9
Honda,23.96,8.76
Honda,27.66,8.07
Honda,19.73,9.18
Honda,18.56,9.6
Honda,39.18,6.87
Honda,36.39,7.08
Honda,33.31,7.86
Honda,27.0,8.58
Honda,21.81,8.86
Honda,21.44,8.92
Honda,23.51,8.97
Honda,30.08,7.55
Honda,33.72,7.15
Honda,32.52,7.56
Honda,24.16,8.71
Honda,39.01,7.24
Honda,34.23,8.25
Honda,30.2,8.46
Honda,31.46,7.91
Honda,27.23,8.44
Honda,23.45,8.48
Ford,20.28,9.23
Ford,31.72,8.38
Ford,21.41,8.47
Ford,22.97,8.98
Ford,22.94,9.13
Ford,36.23,6.67
Ford,38.65,6.66
Ford,34.58,6.73
Ford,44.05,6.49
Ford,29.37,8.35
Ford,27.14,8.89
Ford,41.71,6.86
Ford,25.59,9.09
Ford,44.08,6.04
Ford,20.3,8.29
Ford,44.25,6.55
Ford,21.08,9.05
Ford,42.28,6.76
Ford,33.19,6.85
Ford,44.82,6.48
Ford,21.84,8.29
Ford,33.85,7.88
Ford,44.23,6.72
Ford,33.08,7.32
Ford,35.73,7.22
Ford,37.39,6.84
Ford,31.36,7.84
Ford,35.69,7.81
Ford,34.61,7.14
Ford,42.53,6.95
Ford,21.14,8.67
Ford,27.02,7.98
Ford,43.76,6.58
Ford,42.26,6.36
Ford,31.39,7.64
Ford,35.5,6.97
Ford,26.93,9.09
Ford,24.7,8.54
Ford,31.59,7.56
Ford,28.83,8.2
Ford,34.59,7.5
Ford,21.94,8.72
Ford,44.36,6.81
Ford,44.66,6.84
Ford,37.45,7.04
Ford,33.4,7.43
Ford,27.74,8.12
Ford,40.34,6.04
Ford,37.12,6.68
Ford,24.07,9.14
Ford,42.77,7.38
Ford,40.56,6.84
Ford,43.74,6.86
Ford,38.14,7.31
Ford,35.34,8.7
Ford,30.46,8.4
Ford,43.32,6.62
Ford,41.65,6.45
Ford,21.13,8.24
Ford,20.66,9.02
Ford,29.41,7.76
Ford,40.26,6.4
Ford,44.68,6.27
Ford,23.76,8.19
Ford,34.85,8.19
Ford,29.52,8.4
Ford,44.25,6.57
Ford,41.05,7.49
Ford,40.96,6.94
Ford,31.72,7.48
Ford,30.37,8.57
Ford,26.84,8.53
Ford,21.41,8.44
Ford,41.62,6.76
Ford,40.32,6.62
Ford,44.99,5.95
Ford,44.92,6.88
Ford,33.89,8.38
Ford,39.22,6.52
Ford,43.62,6.86
Ford,41.24,6.62
Ford,26.18,8.19
Ford,31.26,7.64
Ford,23.23,8.33
Ford,43.85,6.63
Ford,35.15,7.15
Ford,25.72,8.54
Ford,36.79,7.3
Ford,35.45,7.36
Ford,28.95,7.74
Ford,22.84,8.49
Ford,36.79,7.62
Ford,33.01,7.9
Ford,39.31,6.68
Ford,33.0,7.74
Ford,41.3,7.17
Ford,33.8,6.95
Ford,34.02,7.81
Ford,41.92,6.54
Ford,30.09,8.22
Kia,17.83,9.14
Kia,19.66,8.27
Kia,21.14,9.46
Kia,16.36,9.32
Kia,14.07,9.7
Kia,22.99,8.46
Kia,17.2,9.33
Kia,22.46,8.35
Kia,14.78,9.22
Kia,20.66,8.75
Kia,21.59,9.16
Kia,12.93,10.0
Kia,18.06,9.63
Kia,14.42,9.39
Kia,13.14,9.41
Kia,29.82,6.98
Kia,17.8,9.06
Kia,26.58,8.01
Kia,16.58,8.56
Kia,24.27,8.57
Kia,25.68,7.66
Kia,22.72,8.04
Kia,20.49,8.18
Kia,19.41,8.1
Kia,18.28,9.28
Kia,28.73,7.24
Kia,26.95,6.99
Kia,29.37,6.59
Kia,14.24,9.49
Kia,25.16,8.48
Kia,28.89,7.08
Kia,15.26,8.86
Kia,13.2,9.7
Kia,25.34,7.67
Kia,22.34,7.2
Kia,27.15,7.45
Kia,14.52,9.49
Kia,26.31,7.89
Kia,15.63,10.0
Kia,14.95,9.96
Kia,14.96,9.4
Kia,26.66,7.11
Kia,23.97,9.03
Kia,21.42,8.45
Kia,18.46,8.93
Kia,27.79,7.36
Kia,19.06,8.9
Kia,26.7,7.49
Kia,19.9,8.45
Kia,18.78,8.65
Kia,20.33,8.6
Kia,17.42,8.88
Kia,25.46,7.47
Kia,21.05,8.53
Kia,16.18,9.2
Kia,28.19,7.9
Kia,18.91,7.79
Kia,21.78,8.81
Kia,28.32,7.78
Kia,23.24,7.3
Kia,14.1,9.51
Kia,28.92,7.03
Kia,23.3,7.55
Kia,18.03,8.68
Kia,14.51,9.14
Kia,26.29,8.32
Kia,23.16,8.51
Kia,21.6,8.91
Kia,28.09,7.61
Kia,26.19,7.18
Kia,14.73,9.34
Kia,17.61,9.26
Kia,16.47,8.77
Kia,25.39,8.05
Kia,12.6,9.8
Kia,22.26,8.14
Kia,25.72,8.0
Kia,27.78,7.55
Kia,18.16,8.83
Kia,26.78,8.0
Kia,13.99,9.24
Kia,27.24,7.71
Kia,14.29,9.85
Kia,19.15,8.68
Kia,26.35,7.74
Kia,14.7,9.05
Kia,16.13,9.68
Kia,25.0,7.76
Kia,24.96,7.63
Kia,23.54,8.5
Kia,24.49,7.64
Kia,21.77,7.81
Kia,16.53,8.62
Kia,18.22,9.21
Kia,15.27,8.94
Kia,28.35,7.98
Kia,22.5,7.42
Kia,19.22,9.48
Kia,20.32,8.7
Kia,29.05,7.12
Hyundai,27.74,7.16
Hyundai,16.52,9.57
Hyundai,29.63,7.31
Hyundai,22.77,8.55
Hyundai,30.1,7.27
Hyundai,28.4,7.51
Hyundai,21.65,8.81
Hyundai,14.4,9.24
Hyundai,18.84,8.87
Hyundai,23.75,7.96
Hyundai,25.4,7.74
Hyundai,18.64,8.73
Hyundai,16.51,9.24
Hyundai,29.03,7.22
Hyundai,31.72,7.54
Hyundai,23.46,7.83
Hyundai,17.09,9.0
Hyundai,18.9,8.64
Hyundai,14.33,10.0
Hyundai,30.46,7.29
Hyundai,16.12,9.62
Hyundai,24.38,7.46
Hyundai,18.93,8.92
Hyundai,23.98,8.47
Hyundai,25.73,7.9
Hyundai,28.94,7.85
Hyundai,17.72,8.78
Hyundai,14.2,10.0
Hyundai,16.46,10.0
Hyundai,30.2,7.1
Hyundai,29.73,7.14
Hyundai,24.75,8.59
Hyundai,24.81,8.63
Hyundai,25.97,7.63
Hyundai,17.16,8.89
Hyundai,30.46,7.1
Hyundai,21.54,7.92
Hyundai,20.9,8.17
Hyundai,23.34,7.8
Hyundai,14.85,9.08
Hyundai,16.99,9.07
Hyundai,27.28,7.75
Hyundai,15.49,9.91
Hyundai,24.86,7.59
Hyundai,18.42,9.28
Hyundai,21.01,8.44
Hyundai,19.2,8.76
Hyundai,20.4,8.88
Hyundai,26.94,7.25
Hyundai,19.35,8.91
Hyundai,24.2,8.15
Hyundai,22.57,8.51
Hyundai,25.95,7.96
Hyundai,30.86,8.14
Hyundai,27.19,7.41
Hyundai,17.87,8.75
Hyundai,14.56,9.17
Hyundai,18.72,8.62
Hyundai,24.71,7.76
Hyundai,14.93,9.85
Hyundai,22.93,8.83
Hyundai,24.74,7.78
Hyundai,20.02,8.33
Hyundai,27.88,7.76
Hyundai,15.92,9.01
Hyundai,15.35,9.57
Hyundai,27.11,7.76
Hyundai,22.92,7.65
Hyundai,26.39,8.4
Hyundai,21.83,9.13
Hyundai,18.44,8.64
Hyundai,28.74,7.3
Hyundai,28.39,7.62
Hyundai,26.5,7.9
Hyundai,18.9,9.08
Hyundai,24.62,8.83
Hyundai,20.5,8.53
Hyundai,15.65,8.95
Hyundai,30.51,6.65
Hyundai,16.46,8.87
Hyundai,31.1,7.11
Hyundai,22.03,9.1
Hyundai,17.33,8.83
Hyundai,23.75,8.23
Hyundai,29.71,7.31
Hyundai,27.18,8.14
Hyundai,28.52,8.49
Hyundai,25.86,7.64
Hyundai,26.46,7.57
Hyundai,29.29,7.79
Hyundai,18.49,9.15
Hyundai,22.81,9.02
Hyundai,17.98,9.18
Hyundai,31.78,6.89
Hyundai,30.99,7.38
Hyundai,14.71,9.84
Hyundai,26.7,8.06
Hyundai,30.65,7.39
Hyundai,17.25,9.48
Hyundai,24.22,8.55
BMW,89.49,4.87
BMW,100.22,5.46
BMW,52.69,6.51
BMW,110.47,3.79
BMW,109.75,4.44
BMW,42.34,6.64
BMW,106.07,4.86
BMW,50.31,6.35
BMW,66.81,5.82
BMW,99.48,4.01
BMW,52.86,6.34
BMW,105.44,3.58
BMW,106.57,3.87
BMW,80.6,5.78
BMW,40.51,7.3
BMW,62.96,6.31
BMW,89.35,4.76
BMW,118.49,4.04
BMW,90.55,5.1
BMW,60.78,5.76
BMW,90.72,5.7
BMW,83.2,5.73
BMW,102.39,4.57
BMW,48.56,6.69
BMW,100.88,4.8
BMW,83.3,4.56
BMW,117.04,4.01
BMW,67.35,5.7
BMW,90.61,4.7
BMW,114.56,4.09
BMW,48.2,7.41
BMW,114.98,4.44
BMW,95.03,4.71
BMW,45.43,7.03
BMW,64.08,6.66
BMW,96.65,5.25
BMW,45.39,6.82
BMW,86.57,4.99
BMW,67.67,6.24
BMW,89.67,5.29
BMW,43.66,7.22
BMW,109.72,4.64
BMW,117.88,4.5
BMW,117.51,3.88
BMW,99.97,5.28
BMW,50.41,6.69
BMW,100.66,5.56
BMW,41.97,6.65
BMW,41.77,7.63
BMW,65.89,6.11
BMW,79.09,5.27
BMW,101.63,4.5
BMW,94.66,4.82
BMW,75.67,5.83
BMW,61.89,6.39
BMW,119.77,3.78
BMW,74.09,5.71
BMW,76.11,6.5
BMW,53.09,7.2
BMW,103.58,4.79
BMW,95.49,4.93
BMW,57.66,6.39
BMW,46.59,7.0
BMW,94.44,4.55
BMW,92.36,4.93
BMW,61.86,5.51
BMW,116.07,4.31
BMW,52.08,6.81
BMW,74.59,5.51
BMW,115.49,4.8
BMW,73.58,5.25
BMW,91.08,4.5
BMW,71.81,5.9
BMW,61.94,6.6
BMW,118.72,4.72
BMW,72.75,5.59
BMW,111.53,4.75
BMW,58.4,6.29
BMW,57.05,6.29
BMW,42.49,7.26
BMW,92.13,5.31
BMW,69.48,5.26
BMW,109.15,5.0
BMW,77.86,6.13
BMW,117.46,3.85
BMW,54.84,6.6
BMW,109.49,4.59
BMW,102.13,4.77
BMW,101.67,4.47
BMW,107.58,4.2
BMW,100.88,4.71
BMW,90.1,5.59
BMW,50.5,6.82
BMW,42.6,6.75
BMW,113.67,4.55
BMW,89.33,4.01
BMW,103.72,5.07
BMW,78.52,4.86
BMW,49.38,6.5
BMW,50.01,6.18
Mercedes,146.94,3.52
Mercedes,75.81,5.73
Mercedes,115.67,4.09
Mercedes,82.52,4.95
Mercedes,127.35,4.82
Mercedes,63.09,5.77
Mercedes,146.98,3.19
Mercedes,95.38,4.28
Mercedes,73.61,5.54
Mercedes,57.35,5.75
Mercedes,66.98,6.65
Mercedes,101.98,5.34
Mercedes,83.7,5.21
Mercedes,132.89,4.91
Mercedes,93.09,5.6
Mercedes,74.87,5.62
Mercedes,111.71,3.65
Mercedes,120.68,5.3
Mercedes,66.7,5.44
Mercedes,66.76,5.34
Mercedes,53.67,6.8
Mercedes,123.64,5.27
Mercedes,116.38,5.06
Mercedes,97.46,5.3
Mercedes,134.42,4.21
Mercedes,130.57,4.42
Mercedes,108.54,5.05
Mercedes,136.83,4.01
Mercedes,70.58,5.92
Mercedes,61.19,6.14
Mercedes,76.97,5.39
Mercedes,55.71,6.22
Mercedes,103.12,4.23
Mercedes,143.66,3.65
Mercedes,53.93,5.99
Mercedes,62.21,5.69
Mercedes,95.22,5.22
Mercedes,143.39,4.26
Mercedes,81.62,5.92
Mercedes,100.72,4.35
Mercedes,54.16,5.98
Mercedes,64.83,6.43
Mercedes,148.66,3.15
Mercedes,146.51,3.51
Mercedes,50.49,6.71
Mercedes,145.18,3.26
Mercedes,113.91,4.62
Mercedes,136.79,3.36
Mercedes,95.47,4.9
Mercedes,101.56,5.08
Mercedes,98.88,4.4
Mercedes,116.69,4.68
Mercedes,63.97,6.07
Mercedes,53.0,6.63
Mercedes,80.79,5.67
Mercedes,120.47,4.93
Mercedes,70.19,5.94
Mercedes,117.34,4.31
Mercedes,146.99,3.64
Mercedes,59.39,6.44
Mercedes,117.26,4.5
Mercedes,94.38,5.18
Mercedes,136.81,3.61
Mercedes,67.71,5.7
Mercedes,119.26,3.86
Mercedes,133.81,4.69
Mercedes,144.46,3.17
Mercedes,118.32,4.17
Mercedes,99.72,4.72
Mercedes,111.78,5.0
Mercedes,136.89,3.78
Mercedes,107.06,5.29
Mercedes,53.04,6.14
Mercedes,143.09,3.82
Mercedes,118.95,4.1
Mercedes,117.65,5.33
Mercedes,71.57,5.38
Mercedes,115.89,4.65
Mercedes,89.39,5.57
Mercedes,115.12,4.71
Mercedes,60.66,6.11
Mercedes,115.78,4.47
Mercedes,149.94,3.52
Mercedes,54.82,6.3
Mercedes,147.72,3.95
Mercedes,90.69,6.16
Mercedes,137.08,3.66
Mercedes,128.24,3.6
Mercedes,106.7,4.76
Mercedes,123.84,5.32
Mercedes,137.85,3.54
Mercedes,90.41,5.94
Mercedes,82.7,6.19
Mercedes,116.76,4.28
Mercedes,130.78,4.3
Mercedes,126.23,4.86
Mercedes,129.78,3.95
Mercedes,93.56,5.11
Mercedes,131.78,3.81
Mercedes,62.02,5.73
Audi,64.27,6.35
Audi,75.17,5.14
Audi,50.9,6.42
Audi,89.12,5.39
Audi,50.75,6.31
Audi,113.03,4.84
Audi,64.87,6.91
Audi,90.9,5.87
Audi,119.81,4.27
Audi,100.32,5.64
Audi,90.3,5.46
Audi,72.57,5.89
Audi,73.31,5.76
Audi,101.91,4.87
Audi,129.5,3.86
Audi,101.26,5.08
Audi,92.41,5.39
Audi,107.11,4.81
Audi,84.54,5.78
Audi,50.11,7.3
Audi,92.8,5.69
Audi,126.4,3.53
Audi,59.9,5.45
Audi,103.65,5.3
Audi,62.08,5.85
Audi,90.55,5.3
Audi,53.22,6.24
Audi,83.28,4.93
Audi,109.27,4.95
Audi,74.54,6.26
Audi,101.52,4.77
Audi,112.61,3.58
Audi,123.81,4.0
Audi,64.94,6.45
Audi,78.94,5.21
Audi,57.96,6.62
Audi,129.36,4.02
Audi,123.8,4.45
Audi,90.9,5.43
Audi,116.57,4.08
Audi,89.28,5.92
Audi,98.0,5.07
Audi,52.58,6.72
Audi,109.2,4.36
Audi,55.86,6.44
Audi,115.22,4.17
Audi,111.47,4.58
Audi,105.24,5.56
Audi,48.07,6.34
Audi,70.77,5.45
Audi,67.36,6.8
Audi,75.61,5.84
Audi,52.45,6.47
Audi,124.64,4.61
Audi,92.07,5.1
Audi,70.97,6.81
Audi,78.74,6.08
Audi,83.01,5.46
Audi,96.05,6.06
Audi,88.83,5.21
Audi,123.15,4.54
Audi,87.24,5.63
Audi,129.33,4.54
Audi,117.37,5.07
Audi,62.72,6.39
Audi,124.1,3.91
Audi,54.89,6.83
Audi,114.48,4.28
Audi,77.35,6.66
Audi,119.63,4.42
Audi,118.78,4.25
Audi,113.5,4.66
Audi,112.15,4.09
Audi,70.9,5.7
Audi,51.88,7.24
Audi,79.25,5.53
Audi,59.75,6.06
Audi,104.07,5.13
Audi,74.42,6.44
Audi,127.93,4.36
Audi,99.48,5.48
Audi,114.91,4.23
Audi,56.26,6.03
Audi,118.27,5.01
Audi,123.43,4.1
Audi,86.4,5.44
Audi,96.53,5.71
Audi,110.01,4.93
Audi,59.86,6.66
Audi,87.72,6.36
Audi,78.89,5.55
Audi,57.44,6.93
Audi,76.24,5.92
Audi,50.79,6.9
Audi,47.19,7.53
Audi,56.49,6.8
Audi,126.86,4.33
Audi,91.71,5.78
Audi,127.09,3.96
Audi,81.76,5.37
Tesla,189.57,4.89
Tesla,87.57,7.32
Tesla,108.96,6.82
Tesla,117.65,6.52
Tesla,118.71,6.96
Tesla,143.88,6.54
Tesla,191.75,5.21
Tesla,89.9,7.87
Tesla,72.62,7.18
Tesla,83.63,7.33
Tesla,183.6,5.05
Tesla,148.64,5.32
Tesla,96.46,7.11
Tesla,173.31,5.5
Tesla,179.9,6.02
Tesla,177.74,5.71
Tesla,188.24,4.83
Tesla,91.57,7.98
Tesla,164.48,6.22
Tesla,121.78,6.85
Tesla,177.09,5.38
Tesla,160.63,5.43
Tesla,167.58,5.52
Tesla,150.14,6.47
Tesla,80.73,8.22
Tesla,134.03,6.98
Tesla,197.78,4.85
Tesla,190.92,4.74
Tesla,61.26,7.93
Tesla,78.9,6.8
Tesla,74.1,7.73
Tesla,160.27,5.76
Tesla,173.58,5.36
Tesla,85.96,6.72
Tesla,128.35,6.69
Tesla,176.9,5.26
Tesla,161.26,5.33
Tesla,133.62,5.22
Tesla,140.6,6.22
Tesla,128.71,7.18
Tesla,98.14,7.77
Tesla,136.93,6.12
Tesla,154.89,5.69
Tesla,181.63,5.57
Tesla,147.26,5.69
Tesla,165.36,5.84
Tesla,78.21,7.83
Tesla,121.93,7.11
Tesla,56.35,7.93
Tesla,90.77,7.18
Tesla,160.34,5.47
Tesla,198.81,4.69
Tesla,69.38,7.61
Tesla,113.22,6.94
Tesla,171.01,5.97
Tesla,84.59,7.07
Tesla,135.49,6.93
Tesla,161.3,5.69
Tesla,144.32,6.14
Tesla,82.26,7.14
Tesla,106.53,5.96
Tesla,168.65,6.0
Tesla,135.36,6.63
Tesla,55.76,7.87
Tesla,165.34,5.74
Tesla,60.12,8.1
Tesla,163.13,5.14
Tesla,84.36,7.18
Tesla,193.92,5.44
Tesla,108.35,6.39
Tesla,102.41,7.14
Tesla,76.59,7.01
Tesla,99.31,7.27
Tesla,182.11,5.36
Tesla,199.47,4.36
Tesla,108.4,7.36
Tesla,120.05,6.36
Tesla,159.7,5.51
Tesla,183.5,5.42
Tesla,140.99,6.68
Tesla,111.77,6.42
Tesla,114.83,6.79
Tesla,155.86,6.08
Tesla,55.47,8.27
Tesla,144.84,6.21
Tesla,106.55,6.79
Tesla,170.16,5.29
Tesla,68.48,7.76
Tesla,140.29,5.81
Tesla,124.74,5.39
Tesla,148.14,6.25
Tesla,64.4,8.17
Tesla,139.1,5.31
Tesla,136.42,5.91
Tesla,136.3,6.57
Tesla,142.51,7.01
Tesla,153.09,5.98
Tesla,171.72,5.29
Tesla,94.12,7.12
Tesla,174.63,6.07
Lexus,43.64,7.53
Lexus,95.04,5.52
Lexus,54.1,6.64
Lexus,58.1,6.98
Lexus,51.53,6.62
Lexus,63.12,7.15
Lexus,92.97,5.42
Lexus,76.36,6.28
Lexus,54.34,7.1
Lexus,101.45,5.2
Lexus,101.57,5.54
Lexus,100.94,5.13
Lexus,56.72,7.25
Lexus,71.59,5.83
Lexus,108.95,5.09
Lexus,94.04,6.35
Lexus,41.9,7.03
Lexus,44.56,7.07
Lexus,72.48,6.55
Lexus,103.65,5.3
Lexus,77.71,6.29
Lexus,74.85,6.45
Lexus,47.38,7.49
Lexus,85.97,6.3
Lexus,97.55,5.61
Lexus,66.63,6.45
Lexus,94.29,5.83
Lexus,107.51,5.85
Lexus,54.26,6.94
Lexus,76.63,5.8
Lexus,60.1,7.22
Lexus,95.5,5.47
Lexus,80.43,5.19
Lexus,84.42,6.25
Lexus,95.85,5.29
Lexus,67.72,6.47
Lexus,104.06,5.35
Lexus,77.31,6.24
Lexus,51.06,7.39
Lexus,88.71,5.59
Lexus,95.53,5.72
Lexus,62.17,6.6
Lexus,100.0,5.65
Lexus,103.43,5.48
Lexus,59.38,6.43
Lexus,108.85,5.48
Lexus,49.85,6.93
Lexus,54.14,7.32
Lexus,52.9,7.19
Lexus,102.58,6.0
Lexus,85.8,5.77
Lexus,50.65,6.98
Lexus,70.82,6.39
Lexus,83.07,5.84
Lexus,45.84,7.61
Lexus,101.77,4.65
Lexus,96.25,5.07
Lexus,75.36,5.81
Lexus,107.7,5.46
Lexus,69.24,7.14
Lexus,108.89,5.0
Lexus,86.75,5.76
Lexus,84.43,5.94
Lexus,51.62,7.55
Lexus,101.73,4.92
Lexus,69.92,6.53
Lexus,51.36,7.48
Lexus,40.88,7.67
Lexus,79.18,6.18
Lexus,76.92,6.58
Lexus,90.35,4.62
Lexus,102.32,5.55
Lexus,45.56,7.04
Lexus,91.2,4.94
Lexus,53.12,7.24
Lexus,100.07,5.9
Lexus,97.33,5.4
Lexus,77.86,6.53
Lexus,89.72,6.37
Lexus,62.0,7.24
Lexus,72.98,6.98
Lexus,97.51,5.74
Lexus,72.15,6.38
Lexus,65.05,5.96
Lexus,74.59,6.17
Lexus,97.98,5.09
Lexus,63.46,7.53
Lexus,52.16,7.0
Lexus,89.84,5.77
Lexus,97.82,5.66
Lexus,47.04,7.27
Lexus,56.79,7.58
Lexus,49.94,6.9
Lexus,64.36,6.71
Lexus,71.52,6.08
Lexus,92.42,5.1
Lexus,85.58,5.63
Lexus,83.46,5.93
Lexus,64.67,6.45
Lexus,98.9,5.12
